epoch,train_loss,val_loss,val_acc,focus_recall,selection_score,selection_metric,seed
14,0.356079,0.264160,0.896296,0.846154,0.871225,balanced,42
15,0.356583,0.257998,0.911111,0.897436,0.904274,balanced,42
16,0.354386,0.249755,0.918519,0.897436,0.907977,balanced,42
17,0.367339,0.253240,0.903704,0.871795,0.887749,balanced,42
18,0.340841,0.265422,0.903704,0.871795,0.887749,balanced,42
19,0.335174,0.241905,0.903704,0.871795,0.887749,balanced,42
20,0.345392,0.243008,0.911111,0.897436,0.904274,balanced,42
21,0.345299,0.257244,0.918519,0.948718,0.933618,balanced,42
22,0.336708,0.237510,0.911111,0.871795,0.891453,balanced,42
23,0.334164,0.230729,0.911111,0.897436,0.904274,balanced,42
24,0.338155,0.250333,0.911111,0.897436,0.904274,balanced,42
25,0.321064,0.251750,0.918519,0.923077,0.920798,balanced,42
26,0.316531,0.247440,0.903704,0.871795,0.887749,balanced,42
27,0.374310,0.250314,0.918519,0.897436,0.907977,balanced,42
28,0.312787,0.250816,0.918519,0.897436,0.907977,balanced,42
29,0.330513,0.243262,0.925926,0.923077,0.924501,balanced,42
30,0.301423,0.256622,0.918519,0.923077,0.920798,balanced,42
31,0.302478,0.244042,0.918519,0.897436,0.907977,balanced,42
32,0.291161,0.238399,0.911111,0.871795,0.891453,balanced,42
33,0.299907,0.235343,0.918519,0.897436,0.907977,balanced,42
